run_id,phase,started_at,finished_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:17.152824,2026-09-10 09:03:44.249457,wiki_candidate_slug,success,qwen3.7-plus,17879,0,0,17879,27958
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:44.324077,2026-09-10 09:03:53.503435,wiki_chunk_citation,success,qwen3.7-plus,7677,0,7669,8,9570
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:53.513089,2026-09-10 09:04:04.78496,wiki_chunk_citation,success,qwen3.7-plus,7518,0,7510,8,11741
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:53.51317,2026-09-10 09:04:04.302971,wiki_chunk_citation,success,qwen3.7-plus,8047,0,8039,8,11259
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:53.513201,2026-09-10 09:04:03.722979,wiki_chunk_citation,success,qwen3.7-plus,8600,0,8592,8,10679
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:03:53.513497,2026-09-10 09:04:00.957683,wiki_chunk_citation,success,qwen3.7-plus,7412,0,7404,8,7914
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:00.971426,2026-09-10 09:04:06.819713,wiki_chunk_citation,success,qwen3.7-plus,7596,0,7588,8,5848
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:03.737191,2026-09-10 09:04:10.462595,wiki_chunk_citation,success,qwen3.7-plus,8114,0,8106,8,6725
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:04.31674,2026-09-10 09:04:12.377867,wiki_chunk_citation,success,qwen3.7-plus,7832,0,7824,8,8061
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:04.792561,2026-09-10 09:04:13.222406,wiki_chunk_citation,success,qwen3.7-plus,7164,0,7156,8,8429
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:13.278665,2026-09-10 09:04:20.594734,wiki_taxonomy_plan,success,qwen3.7-plus,1349,0,0,1349,7316
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:20.645624,2026-09-10 09:04:39.477415,wiki_page_modify,success,qwen3.7-plus,13980,0,13972,8,19688
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:39.578436,2026-09-10 09:04:54.472857,wiki_page_modify,success,qwen3.7-plus,9750,662,9080,8,15773
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:04:54.729189,2026-09-10 09:05:08.238168,wiki_page_modify,success,qwen3.7-plus,9619,662,8949,8,13508
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:05:08.33285,2026-09-10 09:05:36.138493,wiki_page_modify,success,qwen3.7-plus,12122,662,11452,8,28661
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:05:36.338211,2026-09-10 09:06:16.848168,wiki_page_modify,success,qwen3.7-plus,20550,662,19880,8,41369
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:06:16.985408,2026-09-10 09:06:41.879266,wiki_page_modify,success,qwen3.7-plus,8265,662,7595,8,25753
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:06:41.976608,2026-09-10 09:06:53.497609,wiki_page_modify,success,qwen3.7-plus,12988,662,12318,8,12381
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:06:53.548173,2026-09-10 09:07:02.718969,wiki_page_modify,success,qwen3.7-plus,9958,662,9288,8,9170
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:02.788461,2026-09-10 09:07:11.803381,wiki_page_modify,success,qwen3.7-plus,7198,662,6528,8,9014
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:11.851891,2026-09-10 09:07:25.562099,wiki_page_modify,success,qwen3.7-plus,13836,662,13166,8,14564
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:25.62922,2026-09-10 09:07:33.124259,wiki_page_modify,success,qwen3.7-plus,6145,662,5475,8,7495
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:33.172149,2026-09-10 09:07:43.961338,wiki_page_modify,success,qwen3.7-plus,8480,662,7810,8,10789
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:44.028977,2026-09-10 09:07:57.326592,wiki_page_modify,success,qwen3.7-plus,10708,662,10038,8,14164
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:07:57.377761,2026-09-10 09:08:09.396782,wiki_page_modify,success,qwen3.7-plus,12973,662,12303,8,12019
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:08:09.485867,2026-09-10 09:08:15.76689,wiki_page_modify,success,qwen3.7-plus,7320,662,6650,8,6657
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:08:15.95196,2026-09-10 09:08:21.840864,wiki_page_modify,success,qwen3.7-plus,6542,662,5872,8,6359
diagnostic_full_tail,显式缓存初版负向实验,2026-09-10 09:08:43.082196,2026-09-10 09:08:44.991685,wiki_index_intro,success,qwen3.7-plus,380,0,0,380,1909
